classifier,distance_metric,n,k,avg_macro_f1
knn,euclidean,1,1,0.4140901293974114
knn,euclidean,1,2,0.4426769492447752
knn,euclidean,1,3,0.5103696031474676
knn,euclidean,1,4,0.46714708600581184
knn,euclidean,1,5,0.5302144210502668
knn,euclidean,1,6,0.5007530693241306
knn,euclidean,1,7,0.5486798099779081
knn,euclidean,2,1,0.5391195402051319
knn,euclidean,2,2,0.5350713952008768
knn,euclidean,2,3,0.5317430989117131
knn,euclidean,2,4,0.5342307412839543
knn,euclidean,2,5,0.511679099166182
knn,euclidean,2,6,0.5149379570943513
knn,euclidean,2,7,0.498884429369774
knn,euclidean,3,1,0.5145406187237073
knn,euclidean,3,2,0.5110209823435173
knn,euclidean,3,3,0.5016465399451685
knn,euclidean,3,4,0.49199387926746024
knn,euclidean,3,5,0.4802812968565928
knn,euclidean,3,6,0.4780863992243821
knn,euclidean,3,7,0.46203003059829034
knn,euclidean,4,1,0.4945239580144086
knn,euclidean,4,2,0.5103107988352891
knn,euclidean,4,3,0.4729867665906588
knn,euclidean,4,4,0.4943449238446299
knn,euclidean,4,5,0.48034580382526804
knn,euclidean,4,6,0.4887023127278122
knn,euclidean,4,7,0.45475665089439454
knn,cosine,1,1,0.545734115222875
knn,cosine,1,2,0.5306309530588361
knn,cosine,1,3,0.5637950600087156
knn,cosine,1,4,0.551070365516124
knn,cosine,1,5,0.5605027767250779
knn,cosine,1,6,0.5616863267285253
knn,cosine,1,7,0.561796846232461
knn,cosine,2,1,0.5254312084930226
knn,cosine,2,2,0.5272981500102316
knn,cosine,2,3,0.5174113609408454
knn,cosine,2,4,0.5280478974805669
knn,cosine,2,5,0.5228592527787639
knn,cosine,2,6,0.5112146812567065
knn,cosine,2,7,0.495098844589414
knn,cosine,3,1,0.4948350092325769
knn,cosine,3,2,0.4845086759002262
knn,cosine,3,3,0.48515789785095287
knn,cosine,3,4,0.47758863957837905
knn,cosine,3,5,0.42476467467026896
knn,cosine,3,6,0.4656244342657696
knn,cosine,3,7,0.43862032725281574
knn,cosine,4,1,0.48188778130323157
knn,cosine,4,2,0.47078619235116104
knn,cosine,4,3,0.4556163562243487
knn,cosine,4,4,0.450488732840704
knn,cosine,4,5,0.4270866467320614
knn,cosine,4,6,0.47123773572392363
knn,cosine,4,7,0.436405196346002
